,total_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients_per_million,hosp_patients_per_million,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed_per_thousand,tests_per_case,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
total_cases_per_million,1.0,0.7309223161695628,0.7315451351877592,0.5835725503722955,-0.041009731836486596,0.6797269679741674,0.6570462961453812,0.6133684804395569,0.3564400156275991,0.4566849872447918,-0.10151866472808072,0.19893822719960344,0.2465055752008291,0.2419859754685501,0.14611074154136472,0.12046984992689616,-0.029912007882134866,0.01637981580739565,0.28580416670364384,0.3144203226896053,-0.26612779702010214,-0.1731445706121922,0.05871029968888913,0.25703105447572133,0.02470656610220187,0.3566971159379426,0.11643798930119911,0.31405435789851577,0.3179163841367049,0.289335112882513
new_cases_smoothed_per_million,0.7309223161695628,1.0,0.5131988127911515,0.6705808172845106,0.06958119439498466,0.706938745488081,0.7358160169177149,0.4712260054767225,0.35103082387379697,0.4483630679487695,-0.11562986459463848,0.27959501735231074,0.3041206268672145,0.2753317669621625,0.27496089561222453,0.13604120485663174,-0.02998264130889786,0.01370043443578126,0.31128838076794985,0.2441283427780111,-0.2529421924210272,-0.13361044593831872,0.01417030239006094,0.32128276666183675,0.05014826463976831,0.32674215706583165,0.15664862919862108,0.2951886081674534,0.3135326429374071,0.3617336191077454
total_deaths_per_million,0.7315451351877592,0.5131988127911515,1.0,0.5995820970148965,-0.0510910437354399,0.5596685536558957,0.5749117180487973,0.23531601212320247,0.14736602861193432,0.19471155839428522,-0.0998224102309217,-0.08923756409388656,-0.04762289176533802,-0.058777257995648216,-0.09906362616009148,0.09845698888412854,-0.02356994120429405,-0.044751268222929415,0.28988302240171016,0.19401213793372526,-0.2722469672108087,-0.24574651578081214,-0.045680170367517245,0.29427016555537505,-0.0173853224975225,0.33413785858542416,0.08580050475726209,0.3232660080724844,0.3115072792215596,0.385860783183425
new_deaths_smoothed_per_million,0.5835725503722955,0.6705808172845106,0.5995820970148965,1.0,-0.022896050851135625,0.8891819913590265,0.90442121809182,0.24065339158593405,0.1897131563603174,0.2407460095215711,-0.10667638543337365,-0.02193746942869185,0.0056213470903058605,0.01693219991807238,-0.004162527439815343,0.19686412743031143,-0.018685501926540178,-0.029465334918220263,0.29707155077146685,0.1434749281524441,-0.2501387903104548,-0.14369470362938394,-0.03536141372917489,0.31080022683168534,0.02368160055069272,0.27316154834832235,0.13012011829142323,0.2535097970357424,0.2747263770260545,0.6448574124588565
reproduction_rate,-0.041009731836486596,0.06958119439498466,-0.0510910437354399,-0.022896050851135625,1.0,-0.2132482574313067,-0.1734548874225877,-0.06651797426666421,-0.010647621909984264,-0.027225322672947853,-0.13142122437038883,0.06688764552512008,0.07446127344613634,-0.014580708607515988,0.11871541641895751,0.14045334759443268,0.04990505656206417,-0.004709721696501562,0.1410372606019085,0.04764707212438867,-0.15083251493333397,-0.07214253713971437,-0.04561760424354459,0.1128989872884678,-0.00423188579877352,0.10595709260522905,0.06855187833599685,0.1356487071874967,0.15038437178905345,-0.04871322877081737
icu_patients_per_million,0.6797269679741674,0.706938745488081,0.5596685536558957,0.8891819913590265,-0.2132482574313067,1.0,0.8890353848935362,0.2658322113205421,0.12240244662430128,0.17382698726820192,-0.3300262942999446,-0.008256654425170427,-0.032565814577713674,-0.016505529341988658,-0.0043957743757611165,0.4602973916713627,0.19410867707770818,0.1176512482087223,0.11639814469772941,0.010912376654692472,0.16136593056194112,-0.007398284140593543,0.08599365439958623,0.1963406431885305,0.034814583092149826,,0.1643346568331802,-0.0024738955160750796,0.017593171184760868,0.7941962191222327
hosp_patients_per_million,0.6570462961453812,0.7358160169177149,0.5749117180487973,0.90442121809182,-0.1734548874225877,0.8890353848935362,1.0,0.22306095511405272,0.14481024123336775,0.20996624879963824,-0.29466381981889694,-0.05572890104582503,-0.0651596095873243,-0.07599272076805327,-0.04972545217613927,0.37857141803308375,0.09904885539737436,0.010438826637819112,0.18474193143933085,-0.17205125784182124,0.2654749856517078,0.19125533121917987,-0.011324421871295964,0.2174790325377359,0.15000821243180903,,0.24126655831639798,-0.17830158768818555,-0.2539507793219009,0.7787668660848818
total_tests_per_thousand,0.6133684804395569,0.4712260054767225,0.23531601212320247,0.24065339158593405,-0.06651797426666421,0.2658322113205421,0.22306095511405272,1.0,0.6329220125238764,0.8145391829447349,0.01765732460179102,0.4157890985984529,0.3109100669102975,0.2099221648362335,0.3681410619359047,-0.04325070864150593,-0.07817298174448306,0.14690484147001473,0.23979852842011573,0.45426083306551773,-0.21026877516627315,-0.1465523125258979,0.12199284892892054,0.1856128899941473,0.029636794657051203,0.3515954971500791,0.05196468016945376,0.30017574217188203,0.3462352667360144,0.008046831360066854
new_tests_per_thousand,0.3564400156275991,0.35103082387379697,0.14736602861193432,0.1897131563603174,-0.010647621909984264,0.12240244662430128,0.14481024123336775,0.6329220125238764,1.0,0.7756012849081694,0.008500513930913485,0.13321906327009914,0.09653510886746561,0.022704633012098352,0.14569692874080564,-0.01025434280166219,-0.061610864425958096,0.09630399813021809,0.20499788249275538,0.32703086979272983,-0.15348869744149055,-0.11115657005939178,0.0602960737983906,0.1783124323909367,0.041876036629497244,0.29660142487658964,0.06697344106161433,0.23594734053593933,0.27470314085044323,0.012366212059333696
new_tests_smoothed_per_thousand,0.4566849872447918,0.4483630679487695,0.19471155839428522,0.2407460095215711,-0.027225322672947853,0.17382698726820192,0.20996624879963824,0.8145391829447349,0.7756012849081694,1.0,0.05401041170520432,0.23779484900889872,0.18334509300258112,0.059682278775340436,0.25013203003360907,-0.0031240966160599576,-0.08111190035261155,0.13628777069024545,0.2769942528683721,0.43071685233800067,-0.20818834465999467,-0.15880652972944312,0.09822371580675292,0.22372768442631324,0.04847773231180802,0.34114645622655787,0.08392383446292039,0.31977126230212277,0.36071914281395273,0.01718544020728896
